,Topic,document,Stance,Conclusion,Argument ID
1822,27,there are still people that live off of whaling and banning it would take away their food and income.,against,We should ban whaling,A21251
1823,17,legalizing prostitution could empower women and make them safer,in favor of,We should legalize prostitution,A21252
1824,18,multi-party systems encourage the formation of weak and unstable coalitions that achieve little beyond their own day to day survival,against,We should adopt a multi-party system,A21253
1825,5,we should abolish capital punishment because sometimes people are wrongfully accused and once dead cannot bring them back so life in prison is better,in favor of,We should abolish capital punishment,A21254
1826,16,we should limit executive compensation because most make an unbalanced amount of salary in comparison to their real worth.,in favor of,We should limit executive compensation,A21255
1827,-1,"As long as they use an accredited plastic surgeon, people should be able to do whatever they want with their bodies.",against,We should ban cosmetic surgery,A21257
1828,20,journalism is self sustaining and subsidizing it gives the government control over content.,against,We should subsidize journalism,A21259
1829,24,cosmetic surgery is ruining the confidence of young girls and making them feel like their not good enough without such surgeries.,in favor of,We should ban cosmetic surgery,A21260
1830,17,"Legalizing prostitution will allow prostitutes to actually report and press charges against problematic pimps and johns, something they can't do right now.",in favor of,We should legalize prostitution,A21261
1831,11,we shouldn't have to change the british language to conform to others' needs,against,We should adopt gender-neutral language,A21263
1832,7,school uniform stops students from being bullied for their clothing,against,We should abandon the use of school uniform,A21267
1833,35,private military companies are nothing but hired guards.  a company should be able to hire them because they provide a service that is needed.,against,We should ban private military companies,A21268
1834,4,sex selection could lead to an imbalance of genders,against,We should legalize sex selection,A21269
1835,9,"child actors are supervised constantly, are well taken care of, and have tutors on set to keep them from falling back in school.",against,We should ban the use of child actors,A21271
